,Unnamed: 0,optical_flow_magnitude,keypoint_magnitude,video_names,segment_number,average_num_people,max_num_people,optical_flow_norm,keypoint_norm,acuity_score_of,acuity_norm_of,acuity_score_kd,acuity_norm_kd,low_high_acuity_of,low_high_acuity_kd
32,32,4.484847068786621,7.494071717956687,Save My Life Boston Trauma (2015) Season 1 Episode 3,seg_0032,1.5164835164835164,5,0.5209301315198944,0.437725498825702,0.0037748560255064815,0.5086002061828276,0.0031719239045340723,0.24444366747197926,0,0
33,33,3.7827279567718506,9.886049243438027,Save My Life Boston Trauma (2015) Season 1 Episode 3,seg_0033,1.8111111111111111,4,0.433236176381074,0.5965176532323293,0.0025115140659772404,0.33838550746202567,0.0034580733520714743,0.2664957161674532,0,0
34,34,4.242415904998778,7.7579666147458175,Save My Life Boston Trauma (2015) Season 1 Episode 3,seg_0034,1.6111111111111112,3,0.4906507284418938,0.45524424168664424,0.002133264036703886,0.28742249282591736,0.0019793227899419313,0.15253610630212974,0,0
35,35,4.1902594566345215,7.724328378607296,Save My Life Boston Trauma (2015) Season 1 Episode 3,seg_0035,1.5869565217391304,4,0.4841364416709062,0.45301115716558465,0.002806588067657427,0.3781419106412964,0.0026261516357425196,0.20238383911443017,0,0
36,36,3.55315375328064,9.642330788027305,Save My Life Boston Trauma S01 E06,seg_0036,1.3823529411764706,5,0.4045625944239927,0.580338329559321,0.0029316130030724113,0.39498697903606356,0.004205350214197978,0.324084454829829,0,0
37,37,4.665609836578369,6.669471023007448,Save My Life Boston Trauma S01 E06,seg_0037,1.12987012987013,2,0.5435072153483219,0.38298413128302733,0.0015753832328936866,0.21225716468463038,0.0011100989312551517,0.0855495472715616,0,0
38,38,4.234029293060304,7.802995751876362,Save My Life Boston Trauma S01 E06,seg_0038,1.2702702702702702,3,0.4896032492342863,0.45823351462916145,0.0021287097792795054,0.2868088810088312,0.0019923196288224414,0.15353770503435438,0,0
39,39,3.7890677452087402,4.7349056644467735,Save My Life Boston Trauma S01 E06,seg_0039,1.16,3,0.4340280094379735,0.25455742248087754,0.0018870783019042324,0.2542529852652747,0.0011067714020907718,0.08529311191653992,0,0
40,40,3.676809549331665,5.9738952849217855,Save My Life Boston Trauma S01 E06,seg_0040,1.4736842105263157,4,0.42000707620207256,0.33680812468305893,0.0024348236301569423,0.3280527235871172,0.0019525108677278778,0.15046985099612822,0,0
41,41,3.8089008331298833,6.778987320385316,Save My Life Boston Trauma S01 E06,seg_0041,1.4090909090909092,4,0.4365051417260124,0.39025440394153355,0.002530464589716014,0.3409387810744993,0.002262344370675557,0.1743471065815979,0,0
